cat_no,cat_nm,item_cd,item_nm,ssg_price,unit,rate,rate_cnt
6000098014,면류/즉석식품/소스/오일,0000006614779,[청정원] 순창 태양초 찰고추장 500g,"8,900","(100g당:1,780원)",별점 4.92점,"(9,175개)"
6000098014,면류/즉석식품/소스/오일,1000026982361,[피코크] 페페론치노홀 25g(파우치),"5,180","(10g당:2,072원)",별점 4.92점,"(4,601개)"
6000098014,면류/즉석식품/소스/오일,0000006611364,[팔도 Paldo] 일품 해물라면 (120g*5개),"2,720",(1개당:544원),별점 4.88점,"(8,540개)"
6000098014,면류/즉석식품/소스/오일,0000007022265,[청정원] 고소한 마요네즈 300g,"2,380",(100g당:794원),별점 4.93점,"(20,206개)"
6000098014,면류/즉석식품/소스/오일,0000006609534,[오뚜기] 사과 식초 (900ml),"2,280",(10ml당:26원),별점 4.94점,"(27,164개)"
6000098014,면류/즉석식품/소스/오일,1000022471638,[오뚜기] 삼겹살양파절임소스 275g,"2,280",(100g당:830원),별점 4.93점,"(11,754개)"
6000098014,면류/즉석식품/소스/오일,1000028557050,오뚜기 마일드참치150g*3 + 살코기참치150g*3,"11,980",(10g당:134원),별점 4.92점,"(7,172개)"
6000098014,면류/즉석식품/소스/오일,0000006610187,[팔도] 팔도 도시락 86g,750,(1개당:750원),별점 4.91점,"(23,984개)"
6000098014,면류/즉석식품/소스/오일,1000023955928,노브랜드스테이크소스430g,"2,280",(100g당:531원),별점 4.89점,"(2,598개)"
6000098014,면류/즉석식품/소스/오일,1000025070670,오뚜기 컵밥 톡톡김치알밥 222g,"2,480","(100g당:1,118원)",별점 4.85점,"(8,098개)"
